academic_year,term,section_number,subject,course_number
2014-15,3600,10205,CENG,115
2014-15,3600,10536-10889,BIOL,160
2014-15,3600,10791,ENGL,1A
2014-15,3600,10820,ENGL,1A
2014-15,3600,10954,LBST,75
2014-15,3600,11025,ARAB,1
2014-15,3600,11026,ARAB,1
2014-15,3600,11052,ITAL,1
2014-15,3600,11052,ITAL,1
2014-15,3600,11055,ITAL,21
2014-15,3600,11187,PSYC,43
2014-15,3600,11200,PSYC,185EL
2014-15,3600,11254,RSOC,9
2014-15,3600,11407,ENGL,166
2014-15,3600,11420,RSOC,96B
2014-15,3600,11440,PHIL,149
2015-16,3700,26501,COEN,45
2015-16,3700,27017,LBST,196
2015-16,3700,27654,SPAN,1A
2015-16,3700,28037,CENG,121A
2013-14,3540,95021,ENGL,2A
2013-14,3540,96089,CENG,43
2013-14,3540,96209,MECH,121
2013-14,3540,96428,CENG,43
2013-14,3540,96474,CHEM,112
2013-14,3540,96504,ENGL,180
2013-14,3540,96549,ITAL,197
2014-15,3640,18004,ENGL ,2A
2014-15,3640,18021,ENGL,2A
2014-15,3640,18023,ENGL ,2A
2014-15,3640,18028,ENGL,2A
2014-15,3640,18029,ENGL ,2A 
2014-15,3640,18035,ENGL ,2A 
2014-15,3640,18041,ENGL ,2H
2014-15,3640,18278,MKTG,3574
2014-15,3640,18544,COMM,20
2014-15,3640,18612,ENGL ,180
2014-15,3640,18709,JAPN,3
2014-15,3640,18995,SPAN,3
2014-15,3640,19267,CENG ,43
2014-15,3640,19282,CENG,136
2014-15,3640,19986,CENG ,236
2014-15,3640,19431,MECH ,102
2014-15,3640,19793,CENG ,115
2014-15,3640,19798,CENG ,187
2014-15,3640,19992,CENG ,287
2014-15,3640,19803,COEN ,152
2014-15,3640,20137,COEN ,252
2014-15,3640,20355,ASCI ,150
2014-15,3640,20453,PSYC ,185
2015-16,3740,35597,POLI ,101
2015-16,3740,35978,BIOL,178
2015-16,3740,36464,ENGR ,334
2014-15,3620,14002,ENGL,1A
2014-15,3620,14009,ENGL,1A
2014-15,3620,14012,ENGL,1A
2014-15,3620,14013,ENGL,1A
2014-15,3620,14014,ENGL,1A
2014-15,3620,14033,ENGL,2A
2014-15,3620,14036,HIST,11A
2014-15,3620,14075,ENGL,2A
2014-15,3620,14081,ENGL,2A
2014-15,3620,14096,HIST,12H
2014-15,3620,14110,ENGL,1H
2014-15,3620,14114,ENGL,2A
2014-15,3620,14150,ANTH,114
2014-15,3620,14676,FREN,2
2014-15,3620,14732,SPAN,3
2014-15,3620,15884,WGST,104
2014-15,3620,16067,HNRS,20S
2015-16,3720,30830,CENG,20
2015-16,3720,31613,POLI ,101
2015-16,3720,32944,COEN,166
2015-16,3720,32945,COEN,266